clade_name	Home.1.day.1	Home.1.day.2	Home.1.day.3	Home.1.day.4	Home.1.day.5	Home.1.day.6	Home.1.day.7	Home.8.day.1	Home.8.day.2	Home.8.day.3	Home.8.day.4	Home.8.day.5	Home.8.day.6	Home.8.day.7	Home.3.day.1	Home.3.day.2	Home.3.day.3	Home.3.day.4	Home.3.day.5	Home.3.day.6	Home.3.day.7	Home.4.day.1	Home.4.day.2	Home.4.day.3	Home.4.day.4	Home.4.day.5	Home.4.day.6	Home.4.day.7	Home.6.day.1	Home.6.day.2	Home.6.day.3	Home.6.day.4	Home.6.day.5	Home.6.day.6	Home.6.day.7	Home.2.day.1	Home.2.day.2	Home.2.day.3	Home.2.day.4	Home.2.day.5	Home.2.day.6	Home.2.day.7	Home.7.day.1	Home.7.day.2	Home.7.day.3	Home.7.day.4	Home.7.day.5	Home.7.day.6	Home.7.day.7	Home.5.day.1	Home.5.day.2	Home.5.day.3	Home.5.day.4	Home.5.day.5	Home.5.day.6	Home.5.day.7
k__Bacteria	100	100	100	100	100	100	100	99.99949	99.99916	99.99797	99.99911	100	100	99.99851	99.98598	99.98008	99.98956	99.98494	99.98726	99.98893	99.9894	99.99172	99.97258	100	99.99755	99.99923	99.99794	99.99738	100	99.99968	99.99709	100	99.99913	99.99918	99.99975	100	100	100	100	100	100	100	99.99505	99.99202	99.98958	99.99485	100	99.99571	99.99783	99.99989	100	100	99.99963	100	99.9998	99.99955
k__Bacteria|p__Proteobacteria	72.09276	71.63607	74.60142	76.62536	68.79252	67.31849	63.42991	77.64118	58.53662	57.48876	58.95076	51.91734	53.39252	47.6369	50.08329	57.91783	56.74809	59.36834	61.08502	54.34687	56.6375	43.24994	59.04438	43.03864	51.44086	50.97291	49.45044	50.76339	67.35808	47.13126	50.60156	47.94535	49.26841	41.08777	54.69428	66.15617	69.09106	66.85806	70.40738	70.95802	67.58627	67.65399	58.30957	64.89459	66.75788	68.87423	63.8183	62.94248	67.72723	57.56671	48.01621	52.24158	51.99098	51.41639	50.12776	42.75794
k__Bacteria|p__Actinobacteria	18.05659	18.98716	16.73902	14.84225	23.32522	19.49127	24.45081	16.58541	26.64525	27.53201	27.08034	31.86784	30.79123	34.53965	40.17861	32.12998	33.73122	32.71807	30.59236	37.17251	33.45925	51.69136	34.7536	55.27361	44.49489	45.54202	45.95647	44.00338	26.028	45.96093	39.82522	46.38963	43.34656	50.84551	38.77971	18.98707	19.08532	16.38264	15.38757	11.51099	15.57332	19.13973	34.45474	30.13501	28.08628	26.94718	30.5471	31.3953	28.61873	26.5638	34.90398	31.31914	32.22025	33.22314	32.67635	39.96225
k__Bacteria|p__Bacteroidota	3.49468	3.28809	3.3227	3.35348	2.89177	4.95611	5.94419	3.11131	8.3053	8.40489	7.4482	9.14244	9.08409	10.52424	5.81697	5.23086	4.81715	3.8608	4.17178	4.29786	5.70516	2.59044	1.37861	0.62345	1.58267	1.7479	2.01507	2.74095	3.26813	2.83682	4.91259	2.18327	2.98554	3.36253	3.35907	5.27464	3.94726	5.29793	5.35232	6.02208	5.80035	5.59108	4.69146	2.94093	3.00146	2.30771	3.44182	3.77565	2.17993	8.68553	9.42978	9.92047	9.44066	9.03684	10.61312	11.02847
k__Bacteria|p__Acidobacteria	3.1071	2.65643	2.5533	2.79825	3.24008	2.83574	1.9567	1.52076	4.11969	4.23193	4.39919	4.48412	3.46558	3.68022	2.44175	2.716	2.70817	2.20145	2.14577	2.73896	2.46213	1.61825	4.02865	0.67345	1.20836	1.10754	1.31707	1.6943	2.45512	2.87584	3.10244	2.42605	2.9796	2.97419	1.86565	4.61876	3.98524	4.12711	4.54822	6.01313	5.6827	4.45057	2.15679	1.58689	1.56876	1.40604	1.71589	1.25388	1.15009	4.36173	4.62118	3.67134	3.65319	3.68831	3.20268	3.00677
k__Bacteria|p__Cyanobacteria	1.82499	1.89871	1.43501	1.40803	0.62054	2.4891	1.34924	0.34655	0.69979	0.56922	0.57897	0.69676	1.1303	0.9452	1.01311	1.41829	1.47075	1.30897	1.47869	0.98798	1.30672	0.61759	0.37903	0.21129	1.04599	0.44896	1.05729	0.56434	0.11532	0.1025	0.21402	0.07227	0.13999	0.23341	0.1675	3.86163	2.8473	3.60449	3.65593	4.82057	4.31726	1.62594	0.19966	0.26128	0.30056	0.26446	0.29485	0.2896	0.14836	1.03864	0.97468	1.00573	0.6881	0.74858	1.05741	0.53906
k__Bacteria|p__Planctomycetota	1.19775	1.35182	1.15488	0.83542	0.97626	2.31931	2.10287	0.39669	1.17346	1.17225	0.96829	1.23042	1.40068	1.82035	0.38199	0.45628	0.46172	0.41641	0.36204	0.33951	0.28157	0.21203	0.3077	0.16758	0.2113	0.17459	0.18381	0.20418	0.54917	0.74433	0.92482	0.70119	0.79254	0.96712	0.72444	0.67061	0.71616	0.67599	0.35269	0.4084	0.76577	1.21284	0.17709	0.14729	0.2064	0.15727	0.16685	0.2201	0.11627	1.34882	1.53172	1.40626	1.46295	1.35827	1.76531	2.0761
k__Bacteria|p__Tenericutes	0.14798	0.09587	0.11551	0.08326	0.05618	0.48406	0.63045	0.07647	0.19824	0.29423	0.31306	0.40965	0.41933	0.57666	0.00234	0.00655	0	0.00549	0.01511	0.01423	0.03143	0	0.00074	0	0	0	0	0	0.08997	0.11583	0.18264	0.07102	0.2241	0.16218	0.23677	0.02003	0.02784	0.02857	0.00685	0.03486	0.06851	0.1145	0	0.00139	0.00387	0.00343	0	0.01387	0.00549	0.11875	0.14009	0.16018	0.21104	0.22121	0.25194	0.29494
k__Bacteria|p__Verrucomicrobia	0.06696	0.08054	0.071	0.05203	0.08769	0.10381	0.12562	0.08406	0.20114	0.1984	0.18203	0.18746	0.20465	0.20384	0.02254	0.04777	0.03568	0.07184	0.07217	0.0752	0.0874	0.01041	0.07349	0.01	0.01285	0.0053	0.0178	0.01971	0.07075	0.12868	0.10563	0.11503	0.1428	0.11865	0.07424	0.03509	0.04212	0.03271	0.02074	0.03767	0.04604	0.06492	0.00551	0.01126	0.02715	0.02457	0.0152	0.03467	0.02606	0.18686	0.24586	0.17642	0.24098	0.20037	0.20391	0.2244
k__Bacteria|p__Chloroflexi	0.00615	0.00118	0.00079	0	0.00019	0	0.00621	0.04831	0.09924	0.08588	0.07305	0.06399	0.11044	0.06905	0	0	0	0	0.00288	0	0	0	0	0	0	0	0	0	0.06545	0.10343	0.12625	0.09619	0.11829	0.24242	0.09772	0	0	0	0	0	0	0	0	0	0	0	0	0.00349	0.00057	0.12454	0.13273	0.09725	0.08792	0.10338	0.09742	0.10308
